_id,appearance.gender,appearance.race,appearance.height,appearance.weight,appearance.eye-color,appearance.hair-color
656188c917cbd6bc5d2d4072,Male,Human,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Yellow,No Hair
656188c917cbd6bc5d2d4073,Male,Icthyo Sapien,"[""6'3"", '191 cm']","['145 lb', '65 kg']",Blue,No Hair
656188c917cbd6bc5d2d4074,Male,Ungaran,"[""6'1"", '185 cm']","['200 lb', '90 kg']",Blue,No Hair
656188c917cbd6bc5d2d4075,Male,Human / Radiation,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Green,No Hair
656188c917cbd6bc5d2d4076,Male,Cosmic Entity,"['-', '0 cm']","['- lb', '0 kg']",Blue,Black
656188c917cbd6bc5d2d4077,Male,Human,"[""6'4"", '193 cm']","['270 lb', '122 kg']",Blue,No Hair
656188ca17cbd6bc5d2d4078,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond
656188ca17cbd6bc5d2d4079,Male,Human,"[""6'1"", '185 cm']","['195 lb', '88 kg']",Blue,Blond
656188ca17cbd6bc5d2d407a,Female,unknown,"[""5'8"", '173 cm']","['135 lb', '61 kg']",Blue,Blond
656188ca17cbd6bc5d2d407b,Male,Human,"[""5'10"", '178 cm']","['181 lb', '81 kg']",Brown,Brown
656188ca17cbd6bc5d2d407c,Male,unknown,"[""6'3"", '191 cm']","['230 lb', '104 kg']",-,-
656188ca17cbd6bc5d2d407d,Male,unknown,"[""6'2"", '188 cm']","['240 lb', '108 kg']",Blue,White
656188ca17cbd6bc5d2d407e,Male,Cyborg,"[""6'4"", '193 cm']","['200 lb', '90 kg']",Brown,Black
656188ca17cbd6bc5d2d407f,Male,unknown,"[""5'11"", '180 cm']","['201 lb', '90 kg']",Blue,Blond
656188ca17cbd6bc5d2d4080,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4081,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4082,Male,Human,"[""5'10"", '178 cm']","['160 lb', '72 kg']",Blue,Black
656188ca17cbd6bc5d2d4083,Male,Xenomorph XX121,"[""8'0"", '244 cm']","['375 lb', '169 kg']",-,No Hair
656188ca17cbd6bc5d2d4084,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4085,Male,Android,"[""8'5"", '257 cm']","['385 lb', '173 kg']",Red,-
656188ca17cbd6bc5d2d4086,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",Brown,Black
656188ca17cbd6bc5d2d4087,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4088,Male,Vampire,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4089,Male,unknown,"[""6'0"", '183 cm']","['150 lb', '68 kg']",Blue,Blond
656188ca17cbd6bc5d2d408a,Female,Mutant,"[""5'5"", '165 cm']","['126 lb', '57 kg']",Yellow,Black
656188ca17cbd6bc5d2d408b,Female,unknown,"[""5'4"", '163 cm']","['121 lb', '54 kg']",Brown,Black
656188ca17cbd6bc5d2d408c,Female,unknown,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d408d,Male,Human,"[""6'0"", '183 cm']","['185 lb', '83 kg']",Blue,Blond
656188ca17cbd6bc5d2d408e,Male,unknown,"[""5'11"", '180 cm']","['200 lb', '90 kg']",Green,No Hair
656188ca17cbd6bc5d2d408f,Male,Human,"[""6'11"", '211 cm']","['270 lb', '122 kg']",Blue,Blond
656188ca17cbd6bc5d2d4090,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",Blue,Blond
656188ca17cbd6bc5d2d4091,Male,God / Eternal,"['200', '61.0 meters']","['- lb', '0 kg']",Yellow,No Hair
656188ca17cbd6bc5d2d4092,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",-,-
656188ca17cbd6bc5d2d4093,Male,Symbiote,"[""7'6"", '229 cm']","['795 lb', '358 kg']",Blue,Blond
656188ca17cbd6bc5d2d4094,Male,Mutant,"[""7'0"", '213 cm']","['300 lb', '135 kg']",Red,Black
656188ca17cbd6bc5d2d4095,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond
656188ca17cbd6bc5d2d4096,Male,Atlantean,"[""5'10"", '178 cm']","['235 lb', '106 kg']",Blue,Black
656188ca17cbd6bc5d2d4097,Male,Atlantean,"[""6'1"", '185 cm']","['325 lb', '146 kg']",Blue,Blond
656188ca17cbd6bc5d2d4098,Female,Human,"[""5'9"", '175 cm']","['140 lb', '63 kg']",Blue,Blond
656188ca17cbd6bc5d2d4099,Male,Mutant,"[""6'0"", '183 cm']","['150 lb', '68 kg']",Blue,Blond
656188ca17cbd6bc5d2d409a,Female,unknown,"[""5'8"", '173 cm']","['126 lb', '57 kg']",Violet,Purple
656188ca17cbd6bc5d2d409b,Female,Alien,"[""6'4"", '193 cm']","['218 lb', '98 kg']",White,Orange
656188ca17cbd6bc5d2d409c,Male,unknown,"[""6'1"", '185 cm']","['600 lb', '270 kg']",Brown,Brown
656188ca17cbd6bc5d2d409d,Female,unknown,"[""5'5"", '165 cm']","['130 lb', '59 kg']",Purple,Pink
656188ca17cbd6bc5d2d409e,Female,unknown,"[""5'4"", '163 cm']","['112 lb', '50 kg']",Black,Black
