_id,biography.full-name,biography.alter-egos,biography.aliases,biography.place-of-birth,biography.first-appearance,biography.publisher,biography.alignment
656188c917cbd6bc5d2d4072,Richard Milhouse Jones,No alter egos found.,['Rick Jones'],"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good
656188c917cbd6bc5d2d4073,Abraham Sapien,No alter egos found.,"['Langdon Everett Caul', 'Abraham Sapien', 'Langdon Caul']",-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good
656188c917cbd6bc5d2d4074,unknown,No alter egos found.,['Lagzia'],Ungara,"Showcase #22 (October, 1959)",DC Comics,good
656188c917cbd6bc5d2d4075,Emil Blonsky,No alter egos found.,"['Agent R-7', 'Ravager of Worlds']","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad
656188c917cbd6bc5d2d4076,Abraxas,No alter egos found.,['-'],Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad
656188c917cbd6bc5d2d4077,Carl Creel,No alter egos found.,"['Greithoth', '""Crusher"" Creel', 'Rocky Davis', 'Dynamite Davis', 'Lightningbolt', 'Prisoner #24957']","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad
656188ca17cbd6bc5d2d4078,unknown,No alter egos found.,"['Takezo Kensei', 'Richard Sanders']",-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good
656188ca17cbd6bc5d2d4079,Adam Strange,No alter egos found.,"['Warrior of Two Worlds', 'Savior of Rann']","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good
656188ca17cbd6bc5d2d407a,Sharon Carter,Sharon Carter,['-'],-,Tales of Suspense #75,Sharon Carter,good
656188ca17cbd6bc5d2d407b,Bob,No alter egos found.,"['Bob', 'agent of Hydra', 'Bob', 'agent of A.I.M']",-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good
656188ca17cbd6bc5d2d407c,Christoph Nord,No alter egos found.,['Maverick'],Unrevealed location in former East Germany,-,Marvel Comics,good
656188ca17cbd6bc5d2d407d,Gabriel Lan,No alter egos found.,['-'],"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad
656188ca17cbd6bc5d2d407e,Francis,No alter egos found.,"['""Frankie""', 'the A-Man', 'the Attending']",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad
656188ca17cbd6bc5d2d407f,Alan Ladd Wellington Scott,No alter egos found.,"['Green Lantern', 'White King', 'Sentinal']",Gotham City,All-American Comics 16 (1940),DC Comics,good
656188ca17cbd6bc5d2d4080,Alexander J. Mercer,No alter egos found.,"['Prototype', 'Zues', 'Blacklight']",-,-,Wildstorm,bad
656188ca17cbd6bc5d2d4081,Alex Woolsly,No alter egos found.,['-'],-,Heroes S02E16 - Building 26,NBC - Heroes,good
656188ca17cbd6bc5d2d4082,Alfred Thaddeus Crane Pennyworth,No alter egos found.,['Alfred Beagle'],-,"Batman #16 (April, 1943)",DC Comics,good
656188ca17cbd6bc5d2d4083,Xenomorph,No alter egos found.,['-'],Your chest :),Alien (1979),Dark Horse Comics,bad
656188ca17cbd6bc5d2d4084,unknown,No alter egos found.,['-'],-,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),Wildstorm,good
656188ca17cbd6bc5d2d4085,unknown,No alter egos found.,"['Professor Ivos Amazing Android', 'Timazo', 'Humazo', 'Hourmazo']",-,"Brave and the Bold #30 (July, 1960)",DC Comics,bad
656188ca17cbd6bc5d2d4086,unknown,No alter egos found.,['-'],-,"Daredevil #252 (March, 1988)",Marvel Comics,bad
656188ca17cbd6bc5d2d4087,Ando Masahashi,No alter egos found.,"['Huggerz69', 'Sidekick']",-,-,NBC - Heroes,good
656188ca17cbd6bc5d2d4088,Liam,No alter egos found.,"['Angelus', 'Twilight']",-,-,Dark Horse Comics,good
656188ca17cbd6bc5d2d4089,Warren Kenneth Worthington III,Archangel,"['Formerly Death', 'Dark Angel', 'Angel', 'Avenging Angel', 'Archangel']","Centerport, Long Island, New York",X-Men #54-56 (1969),Archangel,good
656188ca17cbd6bc5d2d408a,Christina,No alter egos found.,"['Angel', 'Dusty']",-,Morlocks #1,Marvel Comics,good
656188ca17cbd6bc5d2d408b,Angel Salvadore Bohusk,Tempest,['Tempest'],-,"New X-Men #118 (November, 2001)",Tempest,good
656188ca17cbd6bc5d2d408c,unknown,No alter egos found.,['-'],-,-,Image Comics,bad
656188ca17cbd6bc5d2d408d,Bernhard Baker,No alter egos found.,['The Human Zoo; A-Man; The Man with Animal Powers'],-,"Strange Adventures #180 (September, 1965)",DC Comics,good
656188ca17cbd6bc5d2d408e,Annihilus,No alter egos found.,"['The Living Death That Walks', 'Lord of the Negative Zone']","Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),Marvel Comics,bad
