_id,connections.group-affiliation,connections.relatives
656188c917cbd6bc5d2d4072,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)"
656188c917cbd6bc5d2d4073,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)"
656188c917cbd6bc5d2d4074,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)"
656188c917cbd6bc5d2d4075,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)"
656188c917cbd6bc5d2d4076,Cosmic Beings,"Eternity (""Father"")"
656188c917cbd6bc5d2d4077,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)"
656188ca17cbd6bc5d2d4078,-,-
656188ca17cbd6bc5d2d4079,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)"
656188ca17cbd6bc5d2d407a,Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)"
656188ca17cbd6bc5d2d407b,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons)
656188ca17cbd6bc5d2d407c,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)"
656188ca17cbd6bc5d2d407d,"Former member of Nova Corps, Heralds of Galactus",-
656188ca17cbd6bc5d2d407e,Formerly Weapon X,-
656188ca17cbd6bc5d2d407f,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)"
656188ca17cbd6bc5d2d4080,"Gentek, The Infected",Dana Mercer (sister)
656188ca17cbd6bc5d2d4081,-,"Mr. Woolsly, Mrs. Woolsly, sister"
656188ca17cbd6bc5d2d4082,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)"
656188ca17cbd6bc5d2d4083,-,Alien Queen (mother)
656188ca17cbd6bc5d2d4084,League of Extraordinary Gentlemen,-
656188ca17cbd6bc5d2d4085,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)"
656188ca17cbd6bc5d2d4086,former leader of the Wildboys,-
656188ca17cbd6bc5d2d4087,-,-
656188ca17cbd6bc5d2d4088,-,"Kathy (sister), Connor (son), Twilight (""child"")"
656188ca17cbd6bc5d2d4089,"X-Men, Mutantes Sans Fronti res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin"
656188ca17cbd6bc5d2d408a,-,-
656188ca17cbd6bc5d2d408b,Formerly New Warriors; Special Class,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;
656188ca17cbd6bc5d2d408c,-,-
656188ca17cbd6bc5d2d408d,"Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)"
656188ca17cbd6bc5d2d408e,Sometime ally of Blastaar,Annihilus is a series of clonal scions
656188ca17cbd6bc5d2d408f,"Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",-
656188ca17cbd6bc5d2d4090,"Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)"
656188ca17cbd6bc5d2d4091,"Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors"
656188ca17cbd6bc5d2d4092,-,-
656188ca17cbd6bc5d2d4093,-,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)"
656188ca17cbd6bc5d2d4094,"Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)"
656188ca17cbd6bc5d2d4095,Aquaman Family,"Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)"
656188ca17cbd6bc5d2d4096,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)"
656188ca17cbd6bc5d2d4097,"Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)"
656188ca17cbd6bc5d2d4098,"Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)"
656188ca17cbd6bc5d2d4099,X-Men (founding member); X-Force; Mutantes Sans Fronti res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou,"Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin"
656188ca17cbd6bc5d2d409a,"Marauders formerly, 198, Femizons",-
656188ca17cbd6bc5d2d409b,-,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)"
656188ca17cbd6bc5d2d409c,"Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)"
656188ca17cbd6bc5d2d409d,"X-Men, Formerly Fallen Angels",-
656188ca17cbd6bc5d2d409e,"X-Men, formerly: Xavier Institute Student Body, New X-Men",-
656188ca17cbd6bc5d2d409f,-,-
656188ca17cbd6bc5d2d40a0,-,-
656188ca17cbd6bc5d2d40a1,"Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)"
656188ca17cbd6bc5d2d40a2,-,-
656188ca17cbd6bc5d2d40a3,formerly Justice Society of America; formerly All-Star Squadron,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)"
656188ca17cbd6bc5d2d40a4,-,-
656188ca17cbd6bc5d2d40a5,Legion of Super-Heroes,-
656188ca17cbd6bc5d2d40a6,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)"
656188ca17cbd6bc5d2d40a7,Suicide Squad,"Senator Cray (father, deceased)"
656188ca17cbd6bc5d2d40a8,Lighter Than Air Society,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).
