_id,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat
656188c917cbd6bc5d2d4072,38.0,100.0,17.0,80.0,24.0,64.0
656188c917cbd6bc5d2d4073,88.0,28.0,35.0,65.0,100.0,85.0
656188c917cbd6bc5d2d4074,50.0,90.0,53.0,64.0,99.0,65.0
656188c917cbd6bc5d2d4075,63.0,80.0,53.0,90.0,62.0,95.0
656188c917cbd6bc5d2d4076,88.0,63.0,83.0,100.0,100.0,55.0
656188c917cbd6bc5d2d4077,38.0,80.0,25.0,100.0,98.0,64.0
656188ca17cbd6bc5d2d4078,63.0,10.0,12.0,100.0,100.0,64.0
656188ca17cbd6bc5d2d4079,69.0,10.0,33.0,40.0,37.0,50.0
656188ca17cbd6bc5d2d407a,0.0,46.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d407b,10.0,8.0,13.0,5.0,5.0,20.0
656188ca17cbd6bc5d2d407c,75.0,28.0,38.0,80.0,72.0,95.0
656188ca17cbd6bc5d2d407d,50.0,85.0,100.0,85.0,100.0,40.0
656188ca17cbd6bc5d2d407e,56.0,48.0,35.0,80.0,34.0,55.0
656188ca17cbd6bc5d2d407f,63.0,80.0,23.0,90.0,100.0,32.0
656188ca17cbd6bc5d2d4080,50.0,80.0,42.0,90.0,100.0,50.0
656188ca17cbd6bc5d2d4081,0.0,37.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d4082,63.0,10.0,17.0,10.0,7.0,55.0
656188ca17cbd6bc5d2d4083,50.0,28.0,42.0,90.0,57.0,60.0
656188ca17cbd6bc5d2d4084,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d4085,63.0,100.0,83.0,100.0,100.0,100.0
656188ca17cbd6bc5d2d4086,0.0,0.0,0.0,0.0,0.0,0.0
656188ca17cbd6bc5d2d4087,0.0,0.0,0.0,0.0,0.0,0.0
