_id,name,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,biography.full-name,biography.alter-egos,biography.aliases,biography.place-of-birth,biography.first-appearance,biography.publisher,biography.alignment,appearance.gender,appearance.race,appearance.height,appearance.weight,appearance.eye-color,appearance.hair-color,work.occupation,work.base,connections.group-affiliation,connections.relatives,image.url
656188c917cbd6bc5d2d4072,A-Bomb,38.0,100.0,17.0,80.0,24.0,64.0,Richard Milhouse Jones,No alter egos found.,['Rick Jones'],"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,Male,Human,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",-,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
656188c917cbd6bc5d2d4073,Abe Sapien,88.0,28.0,35.0,65.0,100.0,85.0,Abraham Sapien,No alter egos found.,"['Langdon Everett Caul', 'Abraham Sapien', 'Langdon Caul']",-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Male,Icthyo Sapien,"[""6'3"", '191 cm']","['145 lb', '65 kg']",Blue,No Hair,Paranormal Investigator,-,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
656188c917cbd6bc5d2d4074,Abin Sur,50.0,90.0,53.0,64.0,99.0,65.0,unknown,No alter egos found.,['Lagzia'],Ungara,"Showcase #22 (October, 1959)",DC Comics,good,Male,Ungaran,"[""6'1"", '185 cm']","['200 lb', '90 kg']",Blue,No Hair,"Green Lantern, former history professor",Oa,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
656188c917cbd6bc5d2d4075,Abomination,63.0,80.0,53.0,90.0,62.0,95.0,Emil Blonsky,No alter egos found.,"['Agent R-7', 'Ravager of Worlds']","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,Male,Human / Radiation,"[""6'8"", '203 cm']","['980 lb', '441 kg']",Green,No Hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
656188c917cbd6bc5d2d4076,Abraxas,88.0,63.0,83.0,100.0,100.0,55.0,Abraxas,No alter egos found.,['-'],Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Male,Cosmic Entity,"['-', '0 cm']","['- lb', '0 kg']",Blue,Black,Dimensional destroyer,-,Cosmic Beings,"Eternity (""Father"")",https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
656188c917cbd6bc5d2d4077,Absorbing Man,38.0,80.0,25.0,100.0,98.0,64.0,Carl Creel,No alter egos found.,"['Greithoth', '""Crusher"" Creel', 'Rocky Davis', 'Dynamite Davis', 'Lightningbolt', 'Prisoner #24957']","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['270 lb', '122 kg']",Blue,No Hair,Professional criminal; former professional boxer,-,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
656188ca17cbd6bc5d2d4078,Adam Monroe,63.0,10.0,12.0,100.0,100.0,64.0,unknown,No alter egos found.,"['Takezo Kensei', 'Richard Sanders']",-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,Male,unknown,"['-', '0 cm']","['- lb', '0 kg']",Blue,Blond,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",-,-,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
656188ca17cbd6bc5d2d4079,Adam Strange,69.0,10.0,33.0,40.0,37.0,50.0,Adam Strange,No alter egos found.,"['Warrior of Two Worlds', 'Savior of Rann']","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,Male,Human,"[""6'1"", '185 cm']","['195 lb', '88 kg']",Blue,Blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
656188ca17cbd6bc5d2d407a,Agent 13,0.0,46.0,0.0,0.0,0.0,0.0,Sharon Carter,Sharon Carter,['-'],-,Tales of Suspense #75,Sharon Carter,good,Female,unknown,"[""5'8"", '173 cm']","['135 lb', '61 kg']",Blue,Blond,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City",Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
656188ca17cbd6bc5d2d407b,Agent Bob,10.0,8.0,13.0,5.0,5.0,20.0,Bob,No alter egos found.,"['Bob', 'agent of Hydra', 'Bob', 'agent of A.I.M']",-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['181 lb', '81 kg']",Brown,Brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
